primaryTitle,startYear,averageRating,numVotes,genres,tmdb_id,budget,revenue,release_date,popularity,vote_average,vote_count
Kayhan,2018,2.2,4001,Comedy,499639.0,0.0,0.0,2018-02-09,0.2837,3.3,30.0
Ghosts Can't Do It,1989,2.2,3059,"Comedy,Crime,Fantasy",31281.0,0.0,25000.0,1989-10-17,1.3341,2.73,37.0
Invasion of the Neptune Men,1961,2.2,2906,"Action,Sci-Fi",31254.0,0.0,0.0,1961-07-19,0.9799,2.7,26.0
Switch,2013,2.2,2040,"Action,Adventure,Crime",196385.0,0.0,0.0,2013-06-09,1.3448,3.2,39.0
Siren,2006,2.2,1940,"Comedy,Drama,Music",32310.0,0.0,0.0,2006-01-01,0.2172,1.0,2.0
Jack the Giant Killer,2013,2.2,1857,"Action,Fantasy",177566.0,50000.0,0.0,2013-03-12,1.1412,3.288,52.0
King Dinosaur,1955,2.2,1738,"Adventure,Horror,Sci-Fi",28590.0,0.0,0.0,1955-07-17,0.7484,2.0,25.0
Abelar: Tales of an Ancient Empire,2010,2.2,1718,"Action,Adventure",47065.0,1000000.0,0.0,2010-07-31,1.4471,2.904,26.0
Sean Banan inuti Seanfrika,2012,2.2,1657,Comedy,87072.0,0.0,36723971.0,2012-02-15,0.2164,1.0,2.0
Americans at the Black Sea,2007,2.2,1553,Comedy,,,,,,,
Stuck with You!,2015,2.2,1548,Comedy,,,,,,,
Ancient Evil: Scream of the Mummy,2000,2.2,1441,Horror,30440.0,0.0,0.0,2000-06-22,0.656,3.647,17.0
Amoklauf,1994,2.2,1439,Horror,31538.0,0.0,0.0,1994-02-13,0.4085,3.2,14.0
The Other Side of the Mirror,2016,2.2,1428,"Drama,Fantasy,History",398581.0,0.0,0.0,2016-05-03,0.3762,4.1,48.0
The Wrecking Crew,2000,2.2,1274,"Action,Crime,Drama",90289.0,0.0,0.0,2000-03-21,0.6325,2.7,7.0
Boogeyman II,1983,2.2,1271,Horror,54127.0,0.0,0.0,1983-08-24,0.8218,2.885,26.0
Sinister Squad,2016,2.2,1229,"Action,Comedy,Fantasy",404947.0,0.0,0.0,2016-07-05,0.9735,2.848,46.0
Seed 2,2014,2.2,1141,Horror,283327.0,1200000.0,0.0,2014-02-01,0.7424,3.3,38.0
Zapata - El sueño del héroe,2004,2.2,1087,"Biography,Drama,Fantasy",,,,,,,
The Da Vinci Treasure,2006,2.2,1087,"Action,Adventure,Mystery",76012.0,850000.0,0.0,2006-05-23,1.0542,2.8,11.0
Ape vs. Monster,2021,2.2,1074,"Action,Adventure,Sci-Fi",823087.0,0.0,0.0,2021-04-29,1.2527,5.9,139.0
Lady Magdalene's,2008,2.2,1053,"Action,Comedy,Music",172911.0,525000.0,0.0,2008-02-02,0.6494,1.0,3.0
Lovemakers,2011,2.2,1037,"Comedy,Romance",108542.0,2500000.0,0.0,2011-12-15,2.1955,4.545,11.0
The Mummy Rebirth,2019,2.2,1027,"Action,Fantasy,Horror",615916.0,0.0,0.0,2019-09-04,0.7068,3.6,17.0
Son of the Mask,2005,2.3,61084,"Comedy,Family,Fantasy",10214.0,84000000.0,59918422.0,2005-02-11,5.2132,4.2,1866.0
